config,source_article,logical_fallacies
edu,"company's slogan ""Expect More. Pay Less.""",appeal to emotion
edu,"The bigger a child's shoe size, the better the child's handwriting",false causality
edu,"Since many people believe this, then it must be true",ad populum
edu,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular reasoning
edu,"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",fallacy of relevance
edu,A mother tells her children not to leave the yard because there might be wild animals in the woods.,appeal to emotion
edu,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization
edu,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality
edu,"""You were late tonight. You must be cheating!""",faulty generalization
edu,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",false causality
edu,"Makes people feel as though everyone is doing it, so they should too.",ad populum
edu,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem
edu,"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance
edu,"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension
edu,"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion
edu,"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum
edu,Science shows us that improved quality of life comes through research and invention.,equivocation
edu,"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of extension
edu,uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance
edu,"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",fallacy of logic
edu,"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of extension
edu,"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility
edu,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum
edu,Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of extension
edu,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic
edu,"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",appeal to emotion
edu,Students never used to have cell phones so they don't need them now.,fallacy of credibility
edu,All football players are dumb jocks.,faulty generalization
edu,"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",faulty generalization
edu,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem
edu,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
",intentional
edu,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem
edu,Using the second amendment as justification to allow civilians to own nuclear submarines.,faulty generalization
edu,"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",faulty generalization
edu,"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",intentional
edu,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",ad hominem
edu,An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,ad populum
edu,"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular reasoning
edu,Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension
edu,You should give me a promotion. I have a lot of debt and am behind on my rent.,appeal to emotion
edu,All women care about are their looks.,faulty generalization
edu,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma
edu,"Either we go to war, or we appear weak",false dilemma
edu,", tax relief instead of tax cut, or death tax instead of estate tax)",appeal to emotion
edu,"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization
edu,Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,circular reasoning
edu,Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic
edu,You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion
edu,"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",faulty generalization
edu,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning
edu,AttP 1: Jenny & Bert's Economy Conversation,ad populum
edu,Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization
edu,"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent...""",fallacy of relevance
edu,"""I used to have that haircut. Then my mom got a job.""",ad hominem
edu,"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",ad hominem
edu,"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning
